"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5"
"1",0.09699312541296,0.026382827727581,0.101900785771127,0.0068619143376464,0.0299120650986665
"2",0.0218737200502171,0.0903968283830591,0.504183609321631,0.00929417350652435,0.0149132013450792
"3",0.0182582137219312,0.0891168538590192,0.508608767432073,0.00934950764778135,0.0148196695334575
"4",0.070257005686798,0.0264459195694394,0.112861461836011,0.00609521480337832,0.0286010659073201
"5",0.056218081346626,0.0219706433580443,0.106695439158073,0.00759780595837441,0.0331450017495455
"6",0.00989317515805533,0.0852491214227878,0.513568673746257,0.0104398365805516,0.0156018363085822
"7",0.00943306106197615,0.0886509837324693,0.515579523188362,0.00926887232669674,0.0151239874933179
"8",0.00898527707664313,0.0874938794983064,0.516921752710311,0.00870095931204233,0.0147584968828238
"9",0.00812438317867046,0.0854571504734519,0.516008987740339,0.00936635210024289,0.0147462620953977
"10",0.0419892165065023,0.0234883497230822,0.11480836136191,0.00701378846101704,0.030847706454746
"11",0.0239806917016176,0.0225850669739695,0.121268838326172,0.00720736701167118,0.0292804178231394
"12",0.00208521848732504,0.0854443860715824,0.52778658292305,0.00889465665257812,0.0149086366916615
"13",0.00425376767296161,0.0872563963007161,0.524551748988752,0.00753686262884746,0.0129019169895458
"14",0.0166652734000656,0.0217191139007561,0.123243351596717,0.00711850717850908,0.0309953093439125
"15",0.0171131329962276,0.021265244787255,0.123096237221465,0.00656171802036679,0.0304193117161446
"16",0.00159587175257215,0.0851935153470401,0.530849046638272,0.00921565312875372,0.0146270389731908
"17",0.00053267932054886,0.0822673494512975,0.525668637247763,0.00967476527064279,0.0145097928607696
"18",0.00465296319848361,0.0185221693365595,0.120926442215628,0.00757058886610686,0.0310971991336982
"19",0.00138586669401309,0.0182057105544089,0.125038394295371,0.00857973040259736,0.031597051607242
"20",0.000980827386922497,0.0172522201997968,0.124323260835233,0.00778120428672245,0.0315703991635484
"21",0.00142667531189726,0.0771172746293193,0.533391587155983,0.00921524935214174,0.0151313043717963
"22",0.00122328471159894,0.0788964324040324,0.533670976946182,0.0100885264760228,0.0149334642382107
