"Dimension","Autovalor","PorcentajeVar","PorcentajeAcum"
"Dim1",2.84239152935288,7.19778592294578,7.19778592294578
"Dim2",1.22599492786551,3.10458602985012,10.3023719527959
"Dim3",1.0795699040888,2.73379405273397,13.0361660055299
"Dim4",1.01637633457894,2.57376902439373,15.6099350299236
"Dim5",1.01531341294685,2.5710773887476,18.1810124186712
"Dim6",1.01392734113231,2.56756744013852,20.7485798588097
"Dim7",1.00454612401085,2.54381139110741,23.2923912499171
"Dim8",1.00373390464196,2.54175460861301,25.8341458585301
"Dim9",1.00206306927791,2.5375235534826,28.3716694120127
"Dim10",1.00172126989433,2.53665801516173,30.9083274271745
"Dim11",1.00000010591624,2.53229951291998,33.4406269400944
"Dim12",0.999999999999969,2.5322992447083,35.9729261848027
"Dim13",0.999999999999966,2.53229924470829,38.505225429511
"Dim14",0.999999999999966,2.53229924470829,41.0375246742193
"Dim15",0.999999999999965,2.53229924470829,43.5698239189276
"Dim16",0.999999999999965,2.53229924470829,46.1021231636359
"Dim17",0.999999999999964,2.53229924470828,48.6344224083442
"Dim18",0.999999999999964,2.53229924470828,51.1667216530524
"Dim19",0.999999999999964,2.53229924470828,53.6990208977607
"Dim20",0.999999999999964,2.53229924470828,56.231320142469
"Dim21",0.999999999999963,2.53229924470828,58.7636193871773
"Dim22",0.999999999999963,2.53229924470828,61.2959186318856
"Dim23",0.999999999999962,2.53229924470828,63.8282178765938
"Dim24",0.999999999999962,2.53229924470828,66.3605171213021
"Dim25",0.999999999999962,2.53229924470828,68.8928163660104
"Dim26",0.99999999999996,2.53229924470827,71.4251156107187
"Dim27",0.99999999999996,2.53229924470827,73.9574148554269
"Dim28",0.99999999999996,2.53229924470827,76.4897141001352
"Dim29",0.99999999999996,2.53229924470827,79.0220133448435
"Dim30",0.99999999999996,2.53229924470827,81.5543125895518
"Dim31",0.999999999999959,2.53229924470827,84.08661183426
"Dim32",0.999999999999958,2.53229924470827,86.6189110789683
"Dim33",0.999999999999958,2.53229924470827,89.1512103236766
"Dim34",0.99999999999995,2.53229924470825,91.6835095683848
"Dim35",0.999999999999941,2.53229924470822,94.215808813093
"Dim36",0.780266513189656,1.9758683020214,96.1916771151144
"Dim37",0.526697020094825,1.33375446617628,97.5254315812907
"Dim38",0.348415302946039,0.882291808495095,98.4077233897858
"Dim39",0.183698360380589,0.465179219245933,98.8729026090318
"Dim40",0.124814816937598,0.316068466659493,99.1889710756912
"Dim41",0.0997491558239428,0.252594711953268,99.4415657876445
"Dim42",0.0772079077642962,0.195513526517041,99.6370793141616
"Dim43",0.0666803678045872,0.168854645028433,99.80593395919
"Dim44",0.0499568263340477,0.126505633593736,99.9324395927837
"Dim45",0.0266587795090742,0.0675080072156757,99.9999475999994
"Dim46",0.0000206926573597808,0.0000524000006031821,100
