"Cafe","Indice_0_100"
"365",66.81
"402",66.79
"419",66.79
"375",66.78
"671",66.77
"431",66.75
"514",66.75
"581",66.75
"271",66.72
"463",66.71
"440",66.69
"352",66.68
"501",66.67
"600",66.64
"246",66.62
"472",66.6
"519",66.6
"624",66.58
"708",66.56
"384",66.55
"401",66.55
"615",66.55
"482",66.53
"318",66.51
"396",66.51
"405",66.51
"288",66.49
"441",66.49
"483",66.48
"508",66.46
"513",66.46
"301",66.45
"503",66.44
"422",66.37
"399",66.34
"502",66.31
"417",66.29
"587",66.28
"418",66.27
"500",66.26
"471",66.23
"302",66.21
"439",66.21
"491",66.19
"621",66.19
"631",66.19
"319",66.15
"509",66.15
"616",66.15
"504",66.11
"619",66.11
"657",66.11
"654",66.08
"300",66.07
"416",66.07
"680",66.07
"444",66.04
"661",66.04
"523",66.03
"591",66.02
"632",66.02
"456",66
"512",66
"555",66
"620",65.99
"627",65.98
"535",65.95
"448",65.94
"527",65.94
"526",65.9
"338",65.88
"606",65.83
"453",65.81
"660",65.8
"561",65.77
"651",65.76
"767",65.72
"525",65.7
"541",65.7
"490",65.69
"489",65.68
"511",65.67
"732",65.67
"641",65.66
"470",65.65
"572",65.61
"595",65.61
"12",65.59
"666",65.53
"675",65.53
"700",65.52
"538",65.51
"524",65.49
"601",65.49
"18",65.47
"677",65.46
"676",65.44
"562",65.43
"596",65.43
"515",65.42
"717",65.39
"590",65.36
"558",65.35
"693",65.35
"672",65.33
"516",65.32
"454",65.3
"474",65.29
"479",65.28
"492",65.27
"16",65.23
"730",65.23
"393",65.22
"517",65.22
"565",65.21
"462",65.2
"369",65.17
"658",65.14
"531",65.13
"612",65.13
"398",65.12
"784",65.12
"480",65.09
"709",65.07
"686",65.06
"520",65.03
"710",65.01
"1015",65.01
"733",65
"577",64.99
"377",64.97
"360",64.92
"533",64.91
"650",64.9
"576",64.89
"720",64.88
"618",64.86
"424",64.84
"843",64.82
"741",64.79
"754",64.76
"1158",64.76
"567",64.75
"626",64.75
"748",64.68
"782",64.68
"585",64.65
"633",64.64
"637",64.64
"669",64.63
"643",64.62
"642",64.61
