"","Species","CountryOrigin","Sabor","Presentacion","QualityScore","MFA"
"Species",1,0.099402151985503,0.0980119917170251,0.00430190948726176,0.0052718201666798,0.105660843961371
"CountryOrigin",0.099402151985503,1,0.0598038804820625,0.0277283273817133,0.0324830191848829,0.911715161342823
"Sabor",0.0980119917170251,0.0598038804820625,1,0.358185827917875,0.764487457481878,0.389991709649961
"Presentacion",0.00430190948726176,0.0277283273817133,0.358185827917875,1,0.610121123957415,0.352684767710104
"QualityScore",0.0052718201666798,0.0324830191848829,0.764487457481878,0.610121123957415,1,0.40944694207953
"MFA",0.105660843961371,0.911715161342823,0.389991709649961,0.352684767710104,0.40944694207953,1
