"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5"
"CountryOrigin",0.00416761532275605,0.0176175707493876,0.027625066946661,0.0283851633128641,0.0282439474063233
"Sabor",0.638168063618932,0.0103545154803525,0.003703011061474,0.0000884154216542126,0.0000152208174442082
"Presentacion",0.338014504125729,0.0721395073849918,0.000644086806298026,0.0000676743418266092,0.000203726045241725
"QualityScore",0.877715687541309,0.000223551086650964,0.00000747478392608174,0.00000000361172210557691,0.0000000000000510310884054321
