"","Species","CountryOrigin","FragranceAroma","Flavor","Aftertaste","SaltAcid","Mouthfeel","Balance","BitterSweet","UniformCup","CleanCup","CupperPoints","qualityscore","clust"
"57","Arabica","Honduras",8.17,8.08,8.08,8,8,10,8.08,10,10,8.25,86.67,"6"
"58","Arabica","Taiwan",8,8,8,8.25,8.17,10,8,10,10,8.17,86.58,"5"
"59","Arabica","Nicaragua",7.92,8.25,8,8.33,8.08,10,8,10,10,8,86.58,"5"
"60","Arabica","Tanzania, United Republic Of",8.42,8.17,8.17,8,8,10,7.58,10,10,8.17,86.5,"5"
"61","Arabica","Brazil",8.5,8.17,8,7.75,8,10,8,10,10,8,86.42,"5"
"62","Arabica","Costa Rica",8.17,7.83,8,8.08,8,10,7.83,10,10,8.42,86.33,"6"
"63","Arabica","Ethiopia",8,8.08,7.92,8,8.08,10,8.08,10,10,8.08,86.25,"6"
"64","Arabica","Kenya",8.08,8,8,8.25,7.92,10,7.92,10,10,8.08,86.25,"6"
"65","Arabica","United States (Hawaii)",8.08,8.17,8,7.92,7.83,10,7.92,10,10,8.33,86.25,"6"
"66","Arabica","United States (Hawaii)",8.25,8.42,8.08,7.75,7.83,10,7.67,10,10,8.25,86.25,"6"
"67","Arabica","Ethiopia",7.92,7.75,8.08,8.08,8.17,10,8.08,10,10,8.17,86.25,"6"
"68","Arabica","United States",7.67,8.17,8,8,8.08,10,8.17,10,10,8.08,86.17,"6"
"69","Arabica","Thailand",7.83,8.33,7.83,8.25,7.92,10,7.58,10,10,8.42,86.17,"6"
"70","Arabica","Brazil",8.17,7.92,7.92,7.75,8,10,8.33,10,10,8.08,86.17,"5"
"71","Arabica","Brazil",8.42,7.92,8,7.75,8,10,7.92,10,10,8.17,86.17,"5"
"72","Arabica","Taiwan",8.08,8.17,7.75,8.08,7.83,10,7.75,10,10,8.42,86.08,"5"
"73","Arabica","Kenya",8.08,8.08,8,8,8.08,10,7.83,10,10,8,86.08,"6"
"74","Arabica","Brazil",8.33,8,8,8,8,10,7.75,10,10,8,86.08,"5"
"75","Arabica","Uganda",8.08,8.08,7.83,7.92,7.92,10,8.08,10,10,8.08,86,"6"
"76","Arabica","Colombia",7.75,7.92,7.83,8.08,8.17,10,8.08,10,10,8.17,86,"6"
"77","Arabica","Kenya",7.92,8.17,7.83,8.5,7.92,10,7.5,10,10,8.17,86,"6"
"78","Arabica","Uganda",8.25,8,7.83,8.08,7.92,10,8,10,10,7.92,86,"6"
"79","Arabica","Ethiopia",7.75,8.08,8,8.25,8,10,8,10,10,7.92,86,"6"
"80","Arabica","United States (Hawaii)",8.33,8.17,7.75,8,7.83,10,7.75,10,10,8.17,86,"6"
"81","Arabica","Guatemala",7.92,8.08,7.92,8.08,7.83,10,8.08,10,10,8,85.92,"6"
"82","Arabica","Uganda",8.17,8.17,7.92,8.08,7.75,10,7.83,10,10,8,85.92,"6"
"83","Arabica","Colombia",8,8,8,8.17,8,10,7.83,10,10,7.92,85.92,"6"
"84","Arabica","Panama",8,8,7.92,8.08,8,10,7.83,10,10,8,85.83,"6"
"85","Arabica","Ethiopia",7.83,8.08,7.92,8.08,7.92,10,8,10,10,8,85.83,"6"
"86","Arabica","Guatemala",7.83,8,8,8.17,8,10,7.83,10,10,8,85.83,"6"
"87","Arabica","Guatemala",8,8,7.83,8.33,7.83,10,7.83,10,10,8,85.83,"6"
"88","Arabica","Ethiopia",7.83,8,7.83,8.17,8,10,7.92,10,10,8,85.75,"6"
"89","Arabica","Peru",8,8,8,8.08,7.75,10,7.92,10,10,8,85.75,"6"
"90","Arabica","Papua New Guinea",8.33,8.42,7.83,8.33,8.25,10,8,9.33,9.33,7.92,85.75,"6"
"91","Arabica","El Salvador",7.92,8.17,8,7.92,7.83,10,7.75,10,10,8,85.58,"6"
"92","Arabica","El Salvador",7.83,8,8,7.75,8.17,10,7.92,10,10,7.92,85.58,"6"
"93","Arabica","United States (Hawaii)",7.83,8,7.92,7.75,8,10,8.08,10,10,8,85.58,"3"
"94","Arabica","Panama",8,7.75,7.83,7.83,8.58,10,7.67,10,10,7.83,85.5,"6"
"95","Arabica","Kenya",7.92,7.92,7.83,8.08,7.92,10,7.83,10,10,8,85.5,"6"
"96","Arabica","Ethiopia",7.83,8,7.83,7.92,8.08,10,7.83,10,10,8,85.5,"6"
"97","Arabica","Uganda",8.33,7.92,7.67,7.92,7.92,10,7.67,10,10,8.08,85.5,"6"
"98","Arabica","Guatemala",8,7.83,7.67,8.33,8,10,7.83,10,10,7.83,85.5,"6"
"99","Arabica","Ethiopia",7.75,7.83,7.83,8.17,7.83,10,7.92,10,10,8.08,85.42,"6"
"100","Arabica","Uganda",8.08,8,7.83,7.67,7.83,10,8,10,10,8,85.42,"6"
"101","Arabica","United States (Hawaii)",7.92,7.92,7.75,7.92,7.92,10,7.75,10,10,8.25,85.42,"3"
"102","Arabica","Brazil",8,8,8,7.67,8,10,7.75,10,10,8,85.42,"5"
"103","Arabica","El Salvador",8.08,7.83,7.83,8.08,7.83,10,7.83,10,10,7.92,85.42,"6"
"104","Arabica","China",8,8,8,7.83,7.75,10,7.83,10,10,7.92,85.33,"5"
"105","Arabica","Guatemala",7.83,7.75,7.83,7.67,8.58,10,7.83,10,10,7.83,85.33,"6"
"106","Arabica","Costa Rica",7.92,8.08,8,7.92,8.08,9.33,8,10,10,8,85.33,"5"
"107","Arabica","Costa Rica",8,7.58,7.58,7.67,8.5,10,8.08,10,10,7.92,85.33,"5"
"108","Arabica","Kenya",7.83,8.08,7.75,8.08,7.75,10,7.92,10,10,7.92,85.33,"6"
"109","Arabica","Kenya",8,7.92,7.92,8.08,7.75,10,7.83,10,10,7.83,85.33,"6"
"110","Arabica","Ethiopia",7.83,7.83,7.92,8.08,7.83,10,7.75,10,10,8.08,85.33,"6"
"111","Arabica","Ethiopia",7.92,7.83,7.75,8.33,7.75,10,7.75,10,10,8,85.33,"6"
"112","Arabica","Guatemala",8,7.92,7.75,8,7.83,10,7.92,10,10,7.83,85.25,"6"
"113","Arabica","Colombia",8.17,7.92,7.83,8,7.83,10,7.58,10,10,7.92,85.25,"5"
"114","Arabica","Colombia",7.58,8.08,7.92,7.83,7.92,10,8,10,10,7.92,85.25,"5"
"115","Arabica","Indonesia",7.75,7.83,7.67,8,7.83,10,8.08,10,10,8,85.17,"6"
"116","Arabica","Guatemala",8.25,8,7.67,7.92,7.67,10,7.75,10,10,7.92,85.17,"6"
"117","Arabica","Ethiopia",7.75,8,7.58,8,7.92,10,8,10,10,7.83,85.08,"6"
"118","Arabica","Colombia",8.17,7.83,7.58,8.08,7.75,10,8,10,10,7.67,85.08,"5"
"119","Arabica","Ethiopia",8.42,8,7.42,8,7.92,10,7.92,9.33,10,8.08,85.08,"6"
"120","Arabica","United States (Hawaii)",7.58,7.83,7.83,7.92,8.17,10,7.83,10,10,7.92,85.08,"3"
"121","Arabica","Colombia",7.83,8,7.75,7.75,7.83,10,7.83,10,10,8.08,85.08,"5"
"122","Arabica","United States (Hawaii)",8.08,8.17,7.92,8,8,10,8.08,9.33,9.33,8.17,85.08,"3"
"123","Arabica","Ethiopia",7.67,8,7.83,8,7.83,10,7.92,10,10,7.83,85.08,"6"
"124","Arabica","United States (Hawaii)",7.5,7.92,8.25,7.83,7.75,10,7.92,10,10,7.92,85.08,"3"
"125","Arabica","Uganda",8.17,7.92,7.75,7.75,7.75,10,7.67,10,10,8,85,"6"
"126","Arabica","Colombia",8,7.92,7.75,7.92,7.83,10,7.75,10,10,7.83,85,"5"
"127","Arabica","Costa Rica",7.83,8,7.58,7.92,7.83,10,7.92,10,10,7.92,85,"5"
"128","Arabica","Mexico",7.83,8,7.83,7.75,7.83,10,7.67,10,10,8.08,85,"5"
