"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5"
"1",0.110902889485714,0.0699388482510177,0.306769777880934,0.0219420174286518,0.0957485226310854
"2",0.0582719057085478,0.558322322584295,3.53637593146752,0.0692431319837005,0.111222135630938
"3",0.0483497218241118,0.547130299350362,3.54611378619856,0.0692394788586887,0.109864653256714
"4",0.0792469962756308,0.0691587401297983,0.335175276253049,0.0192270008172581,0.0903148508380867
"5",0.0637169787324468,0.057732073554365,0.318389063629365,0.024082230497662,0.10516736146238
"6",0.025927576233659,0.51797805462596,3.54370758373255,0.0765154748828833,0.114468427118315
"7",0.0248902646613267,0.542320042347782,3.5818356994487,0.0683963812996052,0.111718978241678
"8",0.023616068698853,0.533149529268117,3.57712460977274,0.0639547231545331,0.108593050777714
"9",0.0211822892468175,0.516566371277825,3.54219848726404,0.0682939655995012,0.107633687947844
"10",0.0458794800956301,0.0595015731622512,0.33028387139769,0.0214320017440033,0.094359878505448
"11",0.0261669792190307,0.0571358237656284,0.348396860151709,0.0219936787511249,0.0894443536571242
"12",0.00548268271416774,0.520859161587528,3.6537011680344,0.065403364691827,0.109739570302086
"13",0.0113336859799845,0.539001418982746,3.679754794568,0.0561587412201007,0.096235527051742
"14",0.0183804497040242,0.0555368213995606,0.357882384029173,0.0219564424221812,0.0957025350344585
"15",0.018757155659282,0.0540384732096458,0.355234686999611,0.0201133483883249,0.0933406061649992
"16",0.00419143414561058,0.518759932594285,3.67086854417179,0.0676893174899743,0.10754862310052
"17",0.00138927435046338,0.497444819522574,3.60966898945454,0.0705654269195779,0.105941756637419
"18",0.0050248204248274,0.0463743681361298,0.343831241251948,0.0228638807188477,0.0940147465353591
"19",0.00152108945362884,0.0463272112758899,0.36133482205673,0.0263351802270054,0.0970875705470836
"20",0.00106514496442064,0.0434366530737349,0.355468939553175,0.0236315554372107,0.0959798317711015
"21",0.00375922319386346,0.471107334097588,3.7004305558107,0.0679061975560774,0.111617710392792
"22",0.00322527634878965,0.482271919927042,3.70464075411471,0.0743869030033625,0.110225918594905
"23",0.000652392304261091,0.284078944846252,0.0762351012726998,0.104841883525685,0.0341284942594926
"24",0.0402388376006124,0.357072852041888,6.27537426012862,0.0162445946885513,4.74331392468961
"25",0.00932865438418133,0.67425483491859,7.1023096997291,0.0207640313753753,4.80144057352109
"26",0.043933110446539,0.343882324478508,0.0764088521002815,0.0976547071341159,0.0413710036684079
"27",0.271020986883364,0.652671596280361,3.68113811459921,0.0758687367302931,0.113333607593701
"28",0.367979820699178,0.144562307312049,0.179111962711739,0.243563648605911,1.66273287836287
"29",0.963814933413889,0.211098815061116,0.0541897313642929,0.00734166787061501,0.000944610602080797
"30",0.831925382407514,0.191979052726643,0.0531639331936147,0.00760556576271146,0.000727379065034389
"31",0.562874587339858,0.00186907731926007,0.000517752946012785,0.223733560816646,0.000738547909844128
"32",0.704462030490233,0.183999400993809,0.0485927155893222,0.00540204673171237,0.00167557787022361
"33",0.667892588649146,0.176812230645261,0.0497485278390901,0.00663496017324081,0.00126988746765538
"34",0.406024101033519,0.00518683582108158,0.004596511369384,0.0534612212029459,0.00234747284031038
"35",0.423727634626082,0.397198990263899,0.204034721241326,0.00443169310604017,0.0369286123600956
"36",0.736130693546179,0.230758556131708,0.0319190212345293,0.00385629074367331,0.00192997126942357
"37",0.662509093621173,0.33849813283214,0.0486474046830956,0.00840197685675447,0.00267091608598554
"38",0.581386250480989,0.153802341971586,0.0501303620369147,0.00624012204258888,0.000975319083186354
"39",0.568415525654352,0.155941013626332,0.0470636509387855,0.00674709350595859,0.00145409366245324
"40",0.472405885241984,0.184043800065097,0.0148449118561318,0.0870637057569554,0.0359583565200705
"41",0.45926416588045,0.177892610012974,0.0141001947321098,0.091250690807623,0.0375808079746701
"42",0.307518052243675,0.368326951587199,0.0548350126656367,0.00166421875392586,0.037851590014312
"43",0.561476541484896,0.323111549032211,0.0507388346356459,0.00718126679491162,0.00225989204426546
"44",0.408776766827812,0.170617974625288,0.0147783494181876,0.0858742101754874,0.0378531662121583
"45",0.264491583488462,0.0041299269569342,0.000791835466360306,0.0258150608296634,0.0298896119009627
"46",0.529998036986232,0.327256543891611,0.0439089861482295,0.00638717266496765,0.00440135233534665
"47",0.285873678737464,0.000012669373543975,0.00172381877072892,0.0309184989150046,0.0151668460146541
"48",0.439027843133335,0.140324047621368,0.046717782837432,0.00607591551120196,0.00107756886389462
"49",0.369790888345968,0.16886126752,0.0147092918790188,0.0954163102783903,0.0382463118523443
"50",0.264093934841265,0.0119391243938934,0.00518901110850604,0.086275331809936,0.00833433276599394
"51",0.183496989613096,0.00623717188189487,0.0181178506795427,0.00000395265632907222,0.0050353616465397
"52",0.352318905315586,0.156648562699461,0.0147976770602433,0.0896700629893544,0.0395130744276074
"53",0.400815386140751,0.135603054206276,0.0453760515886419,0.00816681385491532,0.000824005271889094
"54",0.198964484401082,0.000244155891415501,0.00309900665423624,0.0521253644202445,0.00229737232399977
"55",0.39722776085598,0.136355254064384,0.0456372124648653,0.00592050968672013,0.0013107467307594
"56",0.27448935952635,0.0291717673643491,0.18337131830791,0.0208673667536143,0.0905229643462907
"57",0.134212239584897,0.00253006694313714,0.00878063527795594,0.000117616429867794,0.0106486481131771
"58",0.1666291915812,0.0124615202286672,0.0011444463814703,0.0235341019110902,0.0926684838543116
"59",0.103901713689491,0.00120981195266171,0.0077809061699755,0.0405572553619451,0.0224189731116209
"60",0.176031149814653,0.0376284049561236,0.00377149951703993,0.0223477540074065,0.000280656182616962
"61",0.165353579972655,0.0000784726918807928,0.00237046953389288,0.0587948358652748,0.00288521513418763
"62",0.199632750863929,0.00932907936602488,0.00333065274771361,0.0914825328602731,0.0101494921987855
"63",0.313545916672766,0.120996208448898,0.0438723006502194,0.00628401215570987,0.00109639609151586
"64",0.241163588085804,0.003766315336485,0.0217786188443269,0.0604627690531963,0.140988176524564
"65",0.155268870670709,0.315061842285992,0.0501978295890743,0.00116279145118974,0.0383229979110874
"66",0.152007718103705,0.303717200743371,0.050459755934433,0.00114949346724959,0.036897555273906
"67",0.319322929335186,0.124380261757568,0.0438116719942215,0.00526777592182703,0.00119321005330237
"68",0.258480909252438,0.147465113933528,0.016197321022891,0.0852182620318392,0.0365505745750025
"69",0.176137261161149,0.00436751582935575,0.0000780987166252949,0.00881200921180818,0.0180153714001489
"70",0.151584353576621,0.00024209121656159,0.0020908838012903,0.0622880001059063,0.00369872156861861
"71",0.156402969305139,0.000108929178117972,0.00191346418639181,0.0631529970787094,0.00365115315269983
"72",0.1455536673345,0.0134855898871787,0.00233312837063748,0.0258728968728341,0.102180667940535
"73",0.22138626733051,0.00254519898894563,0.0223443693248544,0.057912097832071,0.143393756260586
"74",0.141832852170987,0.0000001569039623186,0.00238014647766315,0.0564669777281002,0.00280405925314079
"75",0.197144495858633,0.0243527898694849,0.187055982109095,0.0195111700109517,0.0877159665960545
"76",0.171699541067468,0.000096697023025116,0.00358776668663503,0.0465351525090553,0.00669035926914249
"77",0.22657335055728,0.00291690433653134,0.0217775647127152,0.0642854499092802,0.139702221592349
"78",0.188148413923549,0.0222899602538027,0.183901334803108,0.0228535398704174,0.0927773168241406
"79",0.280052698516033,0.114828407248657,0.044932317926322,0.00795514838222179,0.000841462792632312
"80",0.130519931607799,0.299124593118017,0.0510602438974472,0.00230964049603566,0.0353128824130721
"81",0.113650935889458,0.0056820429724321,0.000133914522508558,0.250982570347647,0.00213724960914177
"82",0.187864971267136,0.022044066591009,0.187735953011211,0.0219751381355177,0.0894223723687352
"83",0.153975784382597,0.000631677269380841,0.00375908066806839,0.0414371944038205,0.00833730584456426
"84",0.174159026483127,0.00523117694880639,0.0127725963497803,0.00145147190415231,0.154557314554724
"85",0.270017699276695,0.114206331612071,0.0427024406711198,0.00688453669444711,0.00116952515529774
"86",0.108349536674763,0.00664720971897163,0.000226227549370468,0.250783886455103,0.00246783127230792
"87",0.108007146502805,0.00646634444724448,0.000163982951174497,0.260673979635728,0.00243960370277597
"88",0.262028505226209,0.112355964821333,0.0433821887547447,0.00745722021950734,0.00103925047428691
"89",0.128496851490583,0.306078100803125,0.18651571109829,0.00420894764956961,0.0357751603596391
"90",0.262799977894752,1.56918972308841,1.31901749055881,1.76575637433416,0.937204533853002
"91",0.136062834892784,0.0000358238349785773,0.00103808576969655,0.0000573563205589428,0.0976993894459806
"92",0.13110977278248,0.0000149992945088598,0.000676488806652911,0.000184895322495921,0.101148133907456
"93",0.098444675686281,0.290356650034648,0.0521668531086827,0.00129190432310773,0.0350206653048006
"94",0.140045999701117,0.00858753175578467,0.0150853259400497,0.00184124608433487,0.164694594292992
"95",0.176784824172777,0.00181343813065772,0.0207144669482394,0.058942497548504,0.139949738836894
"96",0.239585909501345,0.106640314898649,0.0426677548441685,0.00605919124767469,0.00110367418830037
"97",0.160331585564094,0.0193346998740251,0.189953250636963,0.0203845541137194,0.0889914228084542
"98",0.0826996626453047,0.00874693258199624,0.000288217362013103,0.266795038821376,0.00325065243485109
"99",0.238056504099333,0.111354537203313,0.0406127528726181,0.00664532536449051,0.00152179427295836
"100",0.15106134069576,0.0196221434563923,0.19180306259299,0.0177487726892097,0.086762078450931
"101",0.0997365128071835,0.292387052430912,0.0495493640082232,0.00129695973142139,0.0377731331324957
"102",0.102277051117368,0.000156968057978404,0.00187893147819323,0.0635379195011909,0.00355380097513735
"103",0.120053224253147,0.00000401762436541879,0.000997518015623472,0.0000015576556178932,0.10049015075872
"104",0.112872440677216,0.00337752586985082,0.00247637529834161,0.031055701253426,0.014359586240435
"105",0.0735649288178575,0.0106980322420877,0.000482396264732526,0.23895742179269,0.00352532770696105
"106",0.131867669589074,0.0130658079338733,0.000554836570661807,0.0851548501030358,0.00760068205236036
"107",0.105508661192584,0.00357046456321129,0.00456006221859791,0.0891526853499678,0.00702174251068394
"108",0.161375946575653,0.00152967226596676,0.0201293398293087,0.0612219748909608,0.138892877565364
"109",0.156459166650398,0.00114123547951969,0.0203706415102294,0.0615416831762947,0.142630525603161
"110",0.230618520208472,0.107536107969102,0.0400922256094586,0.00607618349826584,0.00148963308136781
"111",0.225970831428371,0.106840027784621,0.0408132550594753,0.00853555993623051,0.00119671150430893
"112",0.0716123282163877,0.00946424966723869,0.000100887641214648,0.255493708057226,0.0026009484387864
"113",0.111588278820523,0.00181903023548242,0.00279167932436715,0.0423286014672775,0.00771479495631785
"114",0.112389307136588,0.00118444155937713,0.00297895864023936,0.0471517117918207,0.00670683087750733
"115",0.0892184965782438,0.0138671133375672,0.000173990907358518,0.0298021115589837,0.0284833611510047
"116",0.0714761705642385,0.00979284887913913,0.0000173730604612347,0.254486176988743,0.00221408330245295
"117",0.196049545982351,0.100952119756772,0.0421150350653986,0.00794127550561328,0.00100205491226777
"118",0.0916422854503902,0.00210945942089911,0.00305699501798795,0.0368180406389957,0.00878480859267623
"119",0.207161450180518,0.19689139484302,0.0566691964664335,0.0104786260787903,0.00309032528353101
"120",0.0697253427018954,0.2736900370553,0.0537782170896949,0.0016777235525568,0.0333734737061308
"121",0.108634245425828,0.00127199039803832,0.00229026245136297,0.0487332182791611,0.00582234773999778
"122",0.079856322306132,0.545026145327652,0.080201136207914,0.00177361690830034,0.0365863160178062
"123",0.196885756362068,0.10051969322336,0.0414539291349369,0.0071882810768155,0.00109672481509398
"124",0.0715066624334066,0.278056493306292,0.0499283732688265,0.0010608061720967,0.0362464024039853
"125",0.124552165934671,0.0162416214169881,0.194740925250319,0.0188030157762857,0.0869097236596969
"126",0.0940363044357449,0.00223197661655197,0.00278993500151781,0.042435508951493,0.0076972461112781
"127",0.0901212395311257,0.00311043667441801,0.00320255383275841,0.0824169641771889,0.00881499839639209
"128",0.0430978407214936,0.00037177037783579,0.0153775707809166,0.0000855508688253435,0.00541518382545102
"129",0.134107610268893,0.000473074428992869,0.0194358754643723,0.0565091980984121,0.142497671479441
"130",0.133946788060911,0.00101556823694686,0.0199363448428714,0.0610928997717304,0.140001479365564
"131",0.080715062046486,0.000352099049673078,0.0013113676370417,0.0594726608469003,0.00414394647612635
"132",0.037010896920113,0.0000418527947567821,0.0173160474273642,0.00102525727958602,0.00744302202617396
"133",0.0635001081517408,0.27113345330427,0.0521965799195637,0.00178772034832495,0.0335289412075886
"134",0.0665315500780135,0.00951221244800411,0.0000118880041370073,0.251004221052921,0.00169791956462707
"135",0.0897976909334757,0.00208759351953933,0.00268407968482209,0.0435135290000899,0.00731669475226102
"136",0.0890341741160357,0.00250692902957275,0.00300472988248306,0.0444892340365848,0.00789749613292239
"137",0.0617542069902491,0.0233305725136187,0.00229041017521417,0.0297180731745166,0.0968774059788153
"138",0.0671335091060523,0.0527494674586873,0.00476319846545446,0.0205597782562807,0.000301390905717166
"139",0.093249569940018,0.00215994659165588,0.00281871318390115,0.047771382026773,0.00703910102154591
"140",0.0426372220833673,0.000340350406785213,0.015505341414354,0.0000829236574029353,0.00521619790936309
"141",0.0678486765680051,0.000581704289254482,0.00167508882385762,0.0566301022946502,0.00319529251030077
"142",0.0737321636633571,0.000676902412448471,0.00161557927747816,0.0550467374484978,0.0034475159265665
"143",0.117550720877608,0.000389346906956169,0.021062552266314,0.0666411389621802,0.148769494798248
"144",0.0595140348450158,0.023434959257625,0.00255997048410095,0.0268937424671169,0.0968963821519591
"145",0.107354687353059,0.016928918264797,0.192822644684146,0.0187990971389281,0.0865905139657916
"146",0.0638405346666104,0.27514616134961,0.0496127943048804,0.000997661042385318,0.0369123684813724
"147",0.188003864141825,0.100076861395336,0.038106388798483,0.00588862528454143,0.00171524370806318
"148",0.183578414236832,0.0995770309167458,0.0403563205877846,0.00595416820446285,0.00146627938782678
"149",0.0721949196098722,0.00996340152886718,0.000302735606091438,0.0103596748214213,0.0173019974467782
"150",0.122330243260687,0.000578524696330017,0.0191382602910813,0.0589646451071835,0.138768445471989
"151",0.03837390360182,0.00878887584856509,0.0123896011136706,0.00000852518932725764,0.0129316060997925
"152",0.095132374388743,0.00105149472812479,0.00424807370116779,0.000175433298818356,0.106813628285347
"153",0.0373572117668468,0.00279640762236508,0.0144369642809524,0.0553941498769724,0.032994744121311
"154",0.0824743458027101,0.0000495238295318599,0.00160564094075561,0.00000276687160371055,0.0943136417314614
"155",0.0630205723928251,0.018961681615402,0.0000692838418494667,0.0280224579352547,0.0288294431379938
"156",0.145764782288764,0.00923699276084387,0.000455087444773987,2.23330364226882,0.512402079293579
"157",0.0730367891559644,0.00162151703565317,0.00300427485683702,0.0850143486486141,0.00816524170499851
"158",0.0469262229910671,0.011357928991289,0.0000329904105631774,0.254598799989664,0.00214201457454272
"159",0.074115045642713,0.00182099484459474,0.00218783551461364,0.0974821996505169,0.00969960451864928
"160",0.17034075911068,0.0930291436050417,0.0377678741813002,0.00638855716036274,0.00134411004185624
"161",0.063499618408341,0.000988024062874906,0.00510880224442872,0.0863854950007188,0.00573722358791592
"162",0.0757858185416058,0.00241841365356906,0.00240236264364683,0.0907542279869001,0.00954513797235708
"163",0.0893449015077584,0.00947813597336175,0.000339646337842831,0.0837133351330203,0.00749842381785269
"164",0.0466168703311983,0.0282172412681768,0.00231821300435793,0.0234738469782367,0.0924885098648019
"165",0.0802195138924623,0.00245677659575776,0.00239573837842725,0.0463865294923474,0.00659566237281677
"166",0.114153719931033,0.00028795844913103,0.0193812763643629,0.0595356003223887,0.140123999240679
"167",0.0424333192314157,0.0145647644324719,0.000136376848248807,0.254928844498927,0.00328636968788397
"168",0.0519793112567705,0.0109964165764496,0.0000191162096026103,0.246695328331972,0.00176645123874563
"169",0.0279935521962615,0.000208541790809875,0.0157002087358225,0.000342393414945477,0.00620125987561956
"170",0.0978465787594444,0.0136511981234043,0.192181523206532,0.0210013790091371,0.089578351730267
"171",0.0669044973888782,0.280397536131593,0.18216818973336,0.00301156878551871,0.0343312524459249
"172",0.16565628902254,0.0974040390666595,0.041173640157319,0.00653890024084074,0.00121940067675579
"173",0.108392644345663,0.000165565729990801,0.0193815989279819,0.0554589893753196,0.141533014986086
"174",0.0812679117507238,0.00209015237399725,0.00209269536256191,0.0466162913875679,0.00592174969883563
